FECHA;HORA;Temp;RH;Wind Speed;Wind Direction;Solar Radiation
1/01/2015;12:00 a. m.;8.494;76.3;0;311.7;0.6
1/01/2015;12:15 a. m.;8.494;75.8;0;307.5;0.6
1/01/2015;12:30 a. m.;8.444;75.4;0;313.1;0.6
1/01/2015;12:45 a. m.;8.593;74.6;0;307.5;0.6
1/01/2015;1:00 a. m.;8.767;73.8;0;306.1;0.6
1/01/2015;1:15 a. m.;8.668;72.2;0;303.2;0.6
1/01/2015;1:30 a. m.;8.668;71.9;0;286.4;0.6
1/01/2015;1:45 a. m.;8.593;72.6;0;289.2;0.6
1/01/2015;2:00 a. m.;8.543;72.7;0;282.2;0.6
1/01/2015;2:15 a. m.;8.568;74.3;0;279.4;0.6
1/01/2015;2:30 a. m.;8.543;74.4;0;273.8;0.6
1/01/2015;2:45 a. m.;8.469;76;0;261.1;0.6
1/01/2015;3:00 a. m.;8.444;73.1;0.37;271;0.6
1/01/2015;3:15 a. m.;8.295;74.4;0.93;262.5;0.6
1/01/2015;3:30 a. m.;8.07;75.8;0.19;287.8;0.6
1/01/2015;3:45 a. m.;7.995;76.4;0;294.8;0.6
1/01/2015;4:00 a. m.;8.045;75.7;0;296.2;0.6
1/01/2015;4:15 a. m.;8.145;75.1;0.56;283.6;0.6
1/01/2015;4:30 a. m.;7.87;73.9;1.48;254.1;0.6
1/01/2015;4:45 a. m.;7.945;74;0;263.9;0.6
1/01/2015;5:00 a. m.;7.87;75.2;0;301.8;0.6
1/01/2015;5:15 a. m.;7.77;77.6;0.19;303.2;5.6
1/01/2015;5:30 a. m.;7.67;78.8;0;308.9;25.6
1/01/2015;5:45 a. m.;7.895;77.9;0;297.6;75.6
1/01/2015;6:00 a. m.;8.469;77.9;0;280.8;133.1
1/01/2015;6:15 a. m.;8.469;76.7;0.37;272.4;249.4
1/01/2015;6:30 a. m.;8.668;74.5;0.19;290.6;230.6
1/01/2015;6:45 a. m.;9.558;73;0;304.7;326.9
1/01/2015;7:00 a. m.;9.632;71.7;0.19;311.7;396.9
1/01/2015;7:15 a. m.;9.829;70.7;0;273.8;439.4
1/01/2015;7:30 a. m.;9.805;73.2;0;268.1;430.6
1/01/2015;7:45 a. m.;9.04;72.4;0;276.6;249.4
1/01/2015;8:00 a. m.;9.509;71;0;263.9;264.4
1/01/2015;8:15 a. m.;10.638;69.6;0;276.6;995.6
1/01/2015;8:30 a. m.;9.952;67.9;0;280.8;369.4
1/01/2015;8:45 a. m.;9.558;70.1;0;262.5;374.4
1/01/2015;9:00 a. m.;9.756;70.1;0;255.5;280.6
1/01/2015;9:15 a. m.;10.443;68;0;279.4;1166.9
1/01/2015;9:30 a. m.;10.492;65.6;0;272.4;1104.4
1/01/2015;9:45 a. m.;10.834;65.9;0;249.9;801.9
1/01/2015;10:00 a. m.;11.102;63.6;0;251.3;743.1
1/01/2015;10:15 a. m.;11.297;62.1;0;255.5;1149.4
1/01/2015;10:30 a. m.;11.248;62.6;0;256.9;1046.9
1/01/2015;10:45 a. m.;12.025;61.7;0;256.9;1256.9
1/01/2015;11:00 a. m.;12.292;60.5;0;254.1;1274.4
1/01/2015;11:15 a. m.;11.783;57.4;0;252.7;428.1
1/01/2015;11:30 a. m.;11.637;56.4;0;249.9;1216.9
1/01/2015;11:45 a. m.;13.353;52.3;0;234.5;995.6
1/01/2015;12:00 p. m.;13.377;50.8;0;238.7;659.4
1/01/2015;12:15 p. m.;13.064;52.6;0;240.1;493.1
1/01/2015;12:30 p. m.;14.218;52.7;0;227.4;1030.6
1/01/2015;12:45 p. m.;13.858;49;0;207.8;443.1
1/01/2015;1:00 p. m.;14.122;49.5;0;198;1179.4
1/01/2015;1:15 p. m.;13.954;47.8;0;181.1;750.6
1/01/2015;1:30 p. m.;13.522;47.2;0;198;736.9
1/01/2015;1:45 p. m.;15.055;45.5;0;157.2;1276.9
1/01/2015;2:00 p. m.;14.314;46.4;0;171.3;535.6
1/01/2015;2:15 p. m.;14.026;47;0;168.5;580.6
1/01/2015;2:30 p. m.;13.906;47.8;0;123.5;575.6
1/01/2015;2:45 p. m.;13.81;46.5;0;108.1;461.9
1/01/2015;3:00 p. m.;14.098;47.7;0;122.1;590.6
1/01/2015;3:15 p. m.;15.008;48.3;0;96.9;426.9
1/01/2015;3:30 p. m.;16.677;46.6;0;63.2;811.9
1/01/2015;3:45 p. m.;16.153;45.9;0;53.3;658.1
1/01/2015;4:00 p. m.;17.296;47.1;0;39.3;506.9
1/01/2015;4:15 p. m.;15.843;47.6;0;35.1;343.1
1/01/2015;4:30 p. m.;13.834;50.8;0;26.7;181.9
1/01/2015;4:45 p. m.;13.497;56;0;22.5;158.1
1/01/2015;5:00 p. m.;12.871;60.3;0;33.7;76.9
1/01/2015;5:15 p. m.;12.34;66.3;0;22.5;43.1
1/01/2015;5:30 p. m.;12.219;67.2;0;40.7;21.9
1/01/2015;5:45 p. m.;11.904;70.3;0;32.3;8.1
1/01/2015;6:00 p. m.;11.613;73.1;0;23.9;3.1
1/01/2015;6:15 p. m.;11.321;74.3;0;21.1;0.6
1/01/2015;6:30 p. m.;10.907;75.3;0;19.7;0.6
1/01/2015;6:45 p. m.;10.712;77.6;0;19.7;0.6
1/01/2015;7:00 p. m.;10.907;79.3;0;16.8;0.6
1/01/2015;7:15 p. m.;11.078;76.4;0;21.1;0.6
1/01/2015;7:30 p. m.;10.785;77.4;0;43.5;0.6
1/01/2015;7:45 p. m.;10.858;77.8;0;63.2;0.6
1/01/2015;8:00 p. m.;9.238;74.8;2.23;147.4;0.6
1/01/2015;8:15 p. m.;9.262;74.5;8.72;205;0.6
1/01/2015;8:30 p. m.;10.026;70;6.31;207.8;0.6
1/01/2015;8:45 p. m.;10.541;67.8;5.94;207.8;0.6
1/01/2015;9:00 p. m.;9.731;73.2;7.24;196.5;0.6
1/01/2015;9:15 p. m.;9.485;73.4;10.76;189.5;0.6
1/01/2015;9:30 p. m.;8.792;70.1;11.32;181.1;0.6
1/01/2015;9:45 p. m.;8.965;74.4;10.02;176.9;0.6
1/01/2015;10:00 p. m.;8.99;70.2;9.83;171.3;0.6
1/01/2015;10:15 p. m.;8.891;71.8;9.09;169.9;0.6
1/01/2015;10:30 p. m.;8.792;73.8;7.61;171.3;0.6
1/01/2015;10:45 p. m.;8.767;73.4;8.35;169.9;0.6
1/01/2015;11:00 p. m.;8.22;74;9.46;167.1;0.6
1/01/2015;11:15 p. m.;8.145;75.7;8.53;161.5;0.6
1/01/2015;11:30 p. m.;7.97;76.1;6.86;157.2;0.6
1/01/2015;11:45 p. m.;7.67;78;2.97;154.4;0.6
2/01/2015;12:00 a. m.;7.645;80.9;2.04;153;0.6
2/01/2015;12:15 a. m.;7.72;78.9;1.11;153;0.6
2/01/2015;12:30 a. m.;7.72;79.9;0.19;153;0.6
2/01/2015;12:45 a. m.;7.97;78.4;0;150.2;0.6
2/01/2015;1:00 a. m.;8.145;76.5;0;150.2;0.6
2/01/2015;1:15 a. m.;8.245;74;0;136.2;0.6
2/01/2015;1:30 a. m.;8.07;74.8;0;126.4;0.6
2/01/2015;1:45 a. m.;7.745;80.9;0;36.5;0.6
2/01/2015;2:00 a. m.;7.569;80.8;0;21.1;0.6
2/01/2015;2:15 a. m.;7.469;81;0;18.3;0.6
2/01/2015;2:30 a. m.;7.444;82.3;0;21.1;0.6
2/01/2015;2:45 a. m.;7.368;81.9;0;15.4;0.6
2/01/2015;3:00 a. m.;7.343;82.3;0;18.3;0.6
2/01/2015;3:15 a. m.;7.494;80.1;0;14;0.6
2/01/2015;3:30 a. m.;7.619;79.3;0;18.3;0.6
2/01/2015;3:45 a. m.;7.895;78.9;0;9.8;0.6
2/01/2015;4:00 a. m.;7.92;78.3;0;2.8;0.6
2/01/2015;4:15 a. m.;8.12;77.1;0;4.2;0.6
2/01/2015;4:30 a. m.;8.045;76.3;0;9.8;0.6
2/01/2015;4:45 a. m.;8.419;75.7;0;353.8;0.6
2/01/2015;5:00 a. m.;8.593;75.1;0;351;0.6
2/01/2015;5:15 a. m.;8.519;76.4;0;348.2;4.4
2/01/2015;5:30 a. m.;8.444;77.8;0;346.8;33.1
2/01/2015;5:45 a. m.;8.444;78.3;0;342.6;61.9
2/01/2015;6:00 a. m.;8.668;78.6;0;342.6;103.1
2/01/2015;6:15 a. m.;8.866;77.5;0;349.6;160.6
2/01/2015;6:30 a. m.;9.361;76.2;0;351;210.6
2/01/2015;6:45 a. m.;10.271;73.9;0;353.8;409.4
2/01/2015;7:00 a. m.;10.149;72;0;352.4;288.1
2/01/2015;7:15 a. m.;9.854;70.6;0;352.4;374.4
2/01/2015;7:30 a. m.;10.785;68.9;0;353.8;521.9
2/01/2015;7:45 a. m.;11.151;65.7;0;353.8;609.4
2/01/2015;8:00 a. m.;11.248;65.5;0;345.4;666.9
2/01/2015;8:15 a. m.;11.71;65.2;0;321.5;854.4
2/01/2015;8:30 a. m.;10.369;65.8;0;297.6;153.1
2/01/2015;8:45 a. m.;9.854;69.3;0;275.2;171.9
2/01/2015;9:00 a. m.;10.858;71.7;0;266.7;918.1
2/01/2015;9:15 a. m.;10.932;67.5;0;256.9;848.1
2/01/2015;9:30 a. m.;11.832;67.1;0;245.7;623.1
2/01/2015;9:45 a. m.;11.419;66.9;0;252.7;725.6
2/01/2015;10:00 a. m.;11.37;66;0;245.7;601.9
2/01/2015;10:15 a. m.;11.297;66.5;0;249.9;686.9
2/01/2015;10:30 a. m.;11.807;65.4;0;252.7;758.1
2/01/2015;10:45 a. m.;12.074;63.3;0;249.9;899.4
2/01/2015;11:00 a. m.;12.847;62.2;0;249.9;841.9
2/01/2015;11:15 a. m.;13.57;59.8;0;292;533.1
